title	genre	singers	writers	composers	lyrics
13 Αυγούστου	-	Πυξ Λαξ	Φίλιππος Πλιάτσικας	Φίλιππος Πλιάτσικας	Στον δρόμο έκαιγε η άσφαλτος, ο Αύγουστος μου φέρνει ζάλη, μα αυτός ακούμπησε στον ώμο μου να γείρω πάνω το κεφάλι. Να δω τα αστέρια όταν πέφτουνε στον ουρανό τα καλοκαίρια. Να δω τα σύννεφα να φεύγουνε να αγγίξω με τα δυο μου χέρια. Έι. Έι. Όταν διψούσα πάντα μου έφερνε πορτοκαλάδα σε μπουκάλι. Κι όταν οι αγρύπνιες μου θεριεύανε κάπου εκεί δίπλα ήταν πάλι. Κι όταν οι μέρες μου θολώνανε δεν είχα λέξεις να ρωτήσω. Χιλιάδες μέσα μου μαλώνανε πατέρα τι να αποφασίσω; Έι. Έι.
Blues on the road 2006	-	Χρήστος Θηβαίος	Άλκης Αλκαίος	Θάνος Μικρούτσικος	Όλα πεζά και μαγικά μετέωρα και οριστικά, μοιάζουν σε αυτόν το κόσμο. Κι εγώ στην άσωτη ζωή φύλλο στου ανέμου την πνοή, χαράζω και νυχτώνω. Πέρασα μπόρες και φωτιές ήπια παράφορες ματιές, και τώρα εδώ στα ξένα. Ανάβω ευχές και προσευχές για τις αστείρευτες ψυχές, για σένα και για μένα. Δεν έχω τόπο, εσύ ο τόπος μου και ο χρόνος. Δεν ξέρω τρόπο, ο μόνος δρόμος είναι ο δρόμος. Δραπέτες άγιοι και ληστές, μιλούν για το αύριο και το χτες με λόγια κουρασμένα. Πίνουν της λήθης το κρασί σε αχαρτογράφητο νησί, και με ρωτούν για σένα. Και εγώ τους λέω είσαι παντού, στο Μεξικό στο Κατμαντού, μετάξι στα κουρέλια. Στα όνειρα των εραστών, στα δάκρυα των ποιητών και στων τρελών τα γέλια.
Lacrima 2007	-	Χρήστος Θηβαίος	Κώστας Τριπολίτης	Μάρθα Μεναχέμ	Θα φορέσω το μαύρο και θα αρνιέμαι πως είναι για πένθος και θα αρνιέμαι τα πάντα κι όπως πάντα τους πάντες μες το μαύρο μου μαύρο. Απέναντί σου θα έχω πάρει θέση τα δάκρυα των πραγμάτων τα δάκρυα των ανθρώπων δε θα ζω ούτε κι εσύ θα είσαι για μένα ούτε και εσύ. Θα σηκώσω μια λήθη με επτασφράγιστες ωραίες πύλες για τους μάταιους άλλους και για τα άλλα των άλλων θα σηκώσω μια λήθη. Απέναντι σου θα έχω πάρει θέση τα δάκρυα των πραγμάτων τα δάκρυα των ανθρώπων δε θα ζω ούτε κι εσύ θα είσαι για μένα ούτε και εσύ.
Rua da bella vista 2002	-	Σωκράτης Μάλαμας Μάρθα Φριντζήλα	Θανάσης Παπακωνσταντίνου	Θανάσης Παπακωνσταντίνου	Μια νύχτα καλοκαιρινή, υγρή στη Λισσαβόνα, ονειροπόλος ποιητής χαϊδεύει τη σιωπή. Ο φόρος της διάνοιας πληρώνεται με αγρύπνια αγρίμι είναι που κρύβεται σε σώμα λογιστή. Από το ανοιχτό παράθυρο κοιτά τους άδειους δρόμους. Τη μέρα είναι ένα τίποτα. Το βράδυ είναι εγώ, που κάθεται καρτερικά στην έρημη αποβάθρα, να πάρει την κλινάμαξα που πάει στην άβυσσο. Ανακαλεί τη θλίψη του, την αστραπή της γνώσης, για κάθε του παρόρμηση που άφησε κρυφή κι από το βιβλίο του Ιώβ χειροκροτά τη φράση. Κουράστηκε η ψυχή μου από τη ζωή. Γλυκά θα ανοίξει η κλειδαριά της πόρτας για το Σύμπαν, ο υπάλληλος Πεσόα θα αφήσει τις σκιές και μένα, που ξαγρύπνησα, με πιάνει η ανησυχία, αν είναι οι αναμνήσεις μου ψεύτικες ή σωστές.
Spleen 1996	-	Πυξ Λαξ	Κάρολος Μπωντλέρ	Νίκος Φωκάς	Είμαι ένας βασιλιάς σε ομιχλώδη χώρα βαθύπλουτος μα ανίσχυρος και γερασμένος πρόωρα. Που αηδιάζει με των αυλικών του τα παιχνίδια βαριέται γάτες και σκυλιά και τα άλλα κατοικίδια. Ούτε τραγούδι ή γιορτή το πνεύμα χαλαρώνει ούτε ο λαός του που πεθαίνει αντίκρυ από το μπαλκόνι. Στου αγαπημένου του τρελού την πρόστυχη μπαλάντα το μέτωπό του δε γελά σκληρό και γκρίζο πάντα. Τάφος το απέραντό του γίνεται κρεβάτι ενώ οι πουτάνες της αυλής του κλείνουνε το μάτι. Ο άγγελός του δεν μπορεί παρά όλη τη σοφία να βγάλει από το είναι του τη χαλασμένη ουσία. Και αυτά τα αιμάτινα λουτρά γνωστά μας από τη Ρώμη που στα στερνά τους οι ισχυροί θυμούνται τώρα ακόμη. Δεν το γιατρεύουν το κορμί, του ηλίθιου τούτου αρρώστου που αντί για αίμα ένα νερό πράσινο τρέχει εντός του.
Spleen 2009	-	Υπόγεια Ρεύματα	Άλκης Αλκαίος	Θάνος Μικρούτσικος	Μα δεν κουνιέται ούτε φύλλο όλα εδώ είναι μονότονα να είχα τουλάχιστον μια αγάπη κάπως την ώρα μου να σκότωνα. Σαν φάρσα τηλεφωνική σε περιμένω σαν ξεχασμένο ραντεβού στο φλου κλεισμένο σαν τελικό σε ζωντανή μετάδοση και σαν σεισμό που θα σαρώσει την παράδοση. Σαν έκτακτο παράρτημα σε περιμένω σαν Μάη του 1968 να ξεθυμαίνω κάνω την ίδια διαδρομή κάθε Νοέμβριο και στρώνω τσόχα για σκιές Δεκέμβριο.
Α. Select 2014	-	Θανάσης Παπακωνσταντίνου Φωνητικά - Παντελής Ζεμπίλης	Θανάσης Παπακωνσταντίνου	Θανάσης Παπακωνσταντίνου	Τη στιγμή που ανοίγω την πόρτα η ψυχή ανεβαίνει στα δόντια. Το κρεβάτι, στρωμένο από άγνωστα χέρια, μου θυμίζει πως είμαι ένας ξένος κι εγώ. Αδειανός και μέθυσσος, γέρνω σε λευκά, τριμμένα σεντόνια. Με δαγκώνει ο ύπνος, σαν βαμπίρ, στον αυχένα, πριν προλάβω να βάλω στον καθρέφτη φωτιά. Μακριά, στου ανέμου τις όχθες, η χροιά του ήχου που φτάνει από τον δρόμο, όπου αδειάζουν τα σκουπίδια, ταιριάζει με τον ήχο της σφαίρας, που περνάει ξυστά. Ξαφνικά, ανοίγω τα μάτια, για να βρω χαρτί και μολύβι. Συμπαγής, επιστρέφω στον κρυστάλλινο κόσμο, με το σάλιο, στην άκρη των χειλιών, να γλιστρά.
Αβύθιστος για λίγο	-	Δημήτρης Μακρής Φωνητικά - Πασχαλίδης Μιλτιάδης	Γιάννος Σαββίδης	Δημήτρης Μακρής	Της Γαλιλαίας λίμνη τα μάτια σου αβύθιστος για λίγο περπάτησα, μα έκρυψες το βλέμμα και χάθηκα, τους φάρους των χειλιών σου νοστάλγησα. Κουρνιάζουν άλλοι δρόμοι στα χνάρια σου, αβύθιστος ζητούσα τα βράδια σου, πυξίδες και κατάρτια σου χάρισα, έφτιαξα μια στεριά και ναυάγησα. Θα κοιμηθώ απόψε με το χειμώνα, κι ίσως ξυπνήσω με την άνοιξη αγκαλιά. Θα κοιμηθώ απόψε με το χειμώνα, κι ίσως ξυπνήσω με την άνοιξη αγκαλιά. Της Γαλιλαίας λίμνη τα μάτια σου, αβύθιστος για λίγο περπάτησα, σε κήπους με ελαιώνες γονάτισα κι ένα παλιό σου δάκρυ συνάντησα. Θα κοιμηθώ απόψε με το χειμώνα κι ίσως ξυπνήσω με την άνοιξη αγκαλιά. Θα κοιμηθώ απόψε με το χειμώνα κι ίσως ξυπνήσω με την άνοιξη αγκαλιά. Νύχτα. Μονάχα τα άστρα και πέρα το βάθος του ολάνοιχτου ορίζοντα, εκεί που πάνε οι άνθρωποι, χωρίς τα ονόματά τους.
Αγαπάω κι αδιαφορώ 1988	-	Βασίλης Παπακωνσταντίνου Χαρούλα Αλεξίου Γιάννης Πάριος	Νικόλας Άσιμος	Νικόλας Άσιμος	Αγαπάω κι αδιαφορώ και κρατάω τον κατάλληλο χορό το λοιπόν θα αγαπάω και μένα όπως εσένα. Μην παρανοείς τα λόγια που έχω πει είναι η πιο απλή του κόσμου συνταγή νιώσε με για να σε νιώσω κι ας πονάς είναι πανάκριβο σου το λέω να αγαπάς. Κοίτα με στα μάτια με υπομονή διώξε του άλλου κόσμου την επιρροή νιώσε με για να σε νιώσω κι ας πονάς είναι πανάκριβο σου το λέω να αγαπάς. Αγαπάω κι αδιαφορώ και μαζί σου το έχω μάθει και αυτό παραδόξως να αγαπάω και μένα όπως εσένα. Την εικόνα αυτού του κόσμου δεν μπορώ ούτε μέσα στη σκιά του θα χαθώ μάγεψαν και σένανε τα ξωτικά κάνεις πάλι κύκλους σε άλλη αγκαλιά. Και μη μας τρομάζουν φως μου οι πληγές στις χρυσές στιγμές μας πλάι και αυτές νιώσε με για να σε νιώσω κι ας πονάς είναι πανάκριβο στο λέω να αγαπάς. Αγαπάω κι αδιαφορώ κι έχω φτιάξει έναν καινούργιο εαυτό τώρα πια με αγαπάω και μένα όπως εσένα.
Αγάπη 2016	-	Γιάννης Χαρούλης	Κωστής Παλαμάς	Λουκάς Θάνος	Κι ο άνθρωπος ο βαριομοίρης να! υψωμένος νικητής σε μια γη πλατιά, προφήτης μιας πλατύτερης ψυχής. Το χρυσάφι, το πετράδι και το θησαυρό, λείψανα άγια, τίμια ξύλα, κάθε πρόσφορο ιερό, Κι όσα φέρνει η Δύση, ο Νότος, η Ανατολή, ο Βοριάς, μπρος στα πόδια σου τα ρίχνω για να τα πατάς. Για ένα χάιδιο σου πεθαίνω χίλιους πεθαμούς, το φιλί σου αξίζει. Αγάπη, χίλιους λυτρωμούς! Από μια πατρίδα εγώ είμαι, κι όσο κι αν το λησμονώ, πάω, προς μια πατρίδα πάω, μια για πάντα να σταθώ.
